City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,cruz alta,-28.6386,-53.6064,291.68,51,0,3.54,BR,2024-10-26 15:00:00
253,al burayqah,30.4062,19.5739,295.26,59,100,4.58,LY,2024-10-26 15:00:00
254,melo,-32.3667,-54.1833,289.61,53,0,4.87,UY,2024-10-26 15:00:00
255,kapa'a,22.0752,-159.319,297.8,93,75,2.55,US,2024-10-26 15:00:00
256,graneros,-34.0667,-70.7333,299.66,40,0,0.24,CL,2024-10-26 15:00:00
257,kokomo,40.4864,-86.1336,285.59,82,20,4.45,US,2024-10-26 15:00:00
258,lompoc,34.6391,-120.4579,288.93,100,40,1.72,US,2024-10-26 15:00:00
259,sorong,-0.8833,131.25,299.93,85,39,3.48,ID,2024-10-26 15:00:00
260,rurrenabaque,-14.4413,-67.5278,303.09,70,75,0.05,BO,2024-10-26 15:00:00
261,luanda,-8.8368,13.2343,302.15,65,20,4.63,AO,2024-10-26 15:00:00
262,puerto deseado,-47.7503,-65.8938,286.25,49,24,4.83,AR,2024-10-26 15:00:00
263,whitecourt,54.1502,-115.6855,272.73,69,75,1.55,CA,2024-10-26 15:00:00
264,ribeira brava,32.65,-17.0667,296.47,59,0,1.27,PT,2024-10-26 15:00:00
265,bilibino,68.0546,166.4372,260.3,92,100,1.27,RU,2024-10-26 15:00:00
266,okhotsk,59.3833,143.3,264.55,76,49,7.05,RU,2024-10-26 15:00:00
267,panshan,41.1881,122.0494,281.87,48,100,4.37,CN,2024-10-26 15:00:00
268,dudinka,69.4058,86.1778,247.22,100,11,0.79,RU,2024-10-26 15:00:00
269,jiangzi,28.95,89.6333,276.41,16,0,2.37,CN,2024-10-26 15:00:00
270,jamestown,42.097,-79.2353,284.27,61,75,6.7,US,2024-10-26 15:00:00
271,port saint john's,-31.6229,29.5448,293.29,69,45,3.4,ZA,2024-10-26 15:00:00
272,usinsk,65.9939,57.5281,272.99,82,100,8.0,RU,2024-10-26 15:00:00
273,ad diwaniyah,31.9905,44.9306,296.37,16,95,1.08,IQ,2024-10-26 15:00:00
274,sao tome,0.3365,6.7273,300.31,80,87,2.87,ST,2024-10-26 15:00:00
275,sinabang,2.4803,96.3801,300.31,79,81,2.05,ID,2024-10-26 15:00:00
276,china,25.7,-99.2333,298.26,66,0,1.07,MX,2024-10-26 15:00:00
277,walvis bay,-22.9575,14.5053,289.28,74,70,8.7,NA,2024-10-26 15:00:00
278,inirida,3.8653,-67.9239,307.25,50,76,0.93,CO,2024-10-26 15:00:00
279,pogar,52.554,33.2591,283.26,75,100,2.21,RU,2024-10-26 15:00:00
280,yokadouma,3.5167,15.05,302.7,58,100,1.56,CM,2024-10-26 15:00:00
281,corinto,37.9407,22.9573,294.76,35,3,3.18,GR,2024-10-26 15:00:00
282,turbat,26.0023,63.044,304.88,37,4,2.78,PK,2024-10-26 15:00:00
283,macau,22.2006,113.5461,299.55,88,40,7.39,MO,2024-10-26 15:00:00
284,hanceville,34.0607,-86.7675,296.09,43,0,1.49,US,2024-10-26 15:00:00
285,la passe,45.5549,-0.8967,286.76,86,100,0.79,FR,2024-10-26 15:00:00
286,lhasa,29.65,91.1,282.29,15,57,1.35,CN,2024-10-26 15:00:00
287,bulayevo,54.9056,70.4439,279.66,83,100,1.66,KZ,2024-10-26 15:00:00
288,kalmunai,7.4167,81.8167,300.84,79,76,1.25,LK,2024-10-26 15:00:00
289,sarigol,38.2395,28.6966,291.02,23,0,1.13,TR,2024-10-26 15:00:00
290,bozdogan,37.6713,28.314,292.56,22,0,1.48,TR,2024-10-26 15:00:00
291,sola,-13.8833,167.55,299.65,84,69,8.26,VU,2024-10-26 15:00:00
292,porto franco,-6.3383,-47.3992,312.25,27,17,2.32,BR,2024-10-26 15:00:00
293,masterton,-40.9597,175.6575,286.64,98,89,0.77,NZ,2024-10-26 15:00:00
294,taitung city,22.7583,121.1444,299.12,91,100,1.91,TW,2024-10-26 15:00:00
295,rikaze,29.25,88.8833,281.68,12,0,0.46,CN,2024-10-26 15:00:00
296,arno,60.1167,18.6333,282.85,87,95,1.88,SE,2024-10-26 15:00:00
297,visby,57.6409,18.296,284.27,87,100,1.33,SE,2024-10-26 15:00:00
298,kirkagac,39.1064,27.6693,288.0,37,0,3.91,TR,2024-10-26 15:00:00
299,camana,-16.6228,-72.7111,292.56,77,79,4.45,PE,2024-10-26 15:00:00
